Date,Open,High,Low,Close,Adj Close,Volume,Change
2002-04-24,58380.26563,59655.80078,53278.125,55927.3125,45754.09766,4748665,0
2002-04-25,53964.95313,55338.60547,50825.17188,51413.88281,42061.65625,3988764,-8.07
2002-04-26,50825.17188,54946.13281,49353.40234,53768.71484,43988.14844,4179962,4.58
2002-04-29,50334.58203,52395.0625,50334.58203,51217.64453,41901.11719,2028473,-4.74
2002-04-30,51021.41016,51413.88281,49255.28516,50040.22656,40937.875,2017364,-2.3
2002-05-02,51708.23438,53866.83594,50727.05469,53866.83594,44068.41797,2293460,7.65
2002-05-03,52983.76953,56123.55078,52591.30078,55927.3125,45754.09766,2294174,3.83
2002-05-06,54553.66016,56614.14063,53964.95313,53964.95313,44148.6875,1918096,-3.51
2002-05-07,52983.76953,54455.54297,52591.30078,54455.54297,44550.04688,1649237,0.91
2002-05-08,55829.19531,57202.84766,55240.48828,56908.49609,46556.79297,2006867,4.5
2002-05-09,58772.73828,58772.73828,55927.3125,57399.08594,46958.14844,2178803,0.86
2002-05-10,56712.25781,57006.61328,52885.65234,53376.24219,43667.07031,2143743,-7.01
2002-05-13,53376.24219,53376.24219,50825.17188,52983.76953,43345.98047,1895776,-0.74
2002-05-14,53572.48047,54749.89844,49647.75781,50923.29297,41660.30469,4342420,-3.89
2002-05-15,51512,53081.89063,51315.76172,52787.53516,43185.4375,3690348,3.66
2002-05-16,53474.36328,53474.36328,51021.41016,51021.41016,41740.57813,1863264,-3.35
2002-05-17,52198.82813,53376.24219,51610.11719,52493.17969,42944.62891,1967323,2.88
2002-05-20,52493.17969,54357.42578,52395.0625,53376.24219,43667.07031,1604596,1.68
2002-05-21,53180.00781,53180.00781,51021.41016,51021.41016,41740.57813,1117734,-4.41
2002-05-22,51021.41016,52983.76953,50530.82031,52787.53516,43185.4375,1311073,3.46
2002-05-23,51806.35547,53180.00781,51806.35547,52002.58984,42543.28125,901770,-1.49
2002-05-24,52493.17969,53474.36328,52395.0625,52885.65234,43265.71094,977393,1.7
2002-05-27,51806.35547,52885.65234,51610.11719,51806.35547,42382.73828,571861,-2.04
2002-05-28,52100.70703,52395.0625,50530.82031,51512,42141.92969,783239,-0.57
2002-05-29,50334.58203,51021.41016,49942.10938,50530.82031,41339.21875,895859,-1.9
2002-05-30,50040.22656,50334.58203,47538.21875,47783.51172,39091.64844,1603883,-5.44
