Date,Open,High,Low,Close,Adj Close,Volume,Change
2000-01-04,518700,555450,508200,540750,-235995.5313,441709,0
2000-01-05,507150,523950,477750,485100,-211708.6094,353061,-10.29
2000-01-06,493500,499800,454650,459900,-200710.7344,310909,-5.19
2000-01-07,445200,470400,436800,455700,-198877.7969,499628,-0.91
2000-01-10,462000,468300,451500,451500,-197044.8125,382932,-0.92
2000-01-11,462000,489300,459900,468300,-204376.6719,536613,3.72
2000-01-12,462000,487200,457800,474600,-207126.1875,329356,1.35
2000-01-13,483000,494550,472500,493500,-215374.5781,532408,3.98
2000-01-14,509250,516600,474600,478800,-208959.0938,587523,-2.98
2000-01-17,497700,536550,491400,522900,-228205.375,975008,9.21
2000-01-18,525000,539700,505050,525000,-229121.9063,694337,0.4
2000-01-19,525000,537600,514500,514500,-224539.4531,634599,-2
2000-01-20,511350,567000,500850,567000,-247451.6094,1155922,10.2
2000-01-21,556500,596400,554400,558600,-243785.6875,1487560,-1.48
2000-01-24,575400,584850,562800,567000,-247451.6094,582556,1.5
2000-01-25,556500,562800,541800,543900,-237370.2656,497451,-4.07
2000-01-26,549150,558600,541800,555450,-242410.9688,433723,2.12
2000-01-27,556500,562800,535500,546000,-238286.75,428171,-1.7
2000-01-28,546000,588000,541800,581700,-253867.0625,803937,6.54
2000-01-31,568050,573300,552300,554400,-241952.7031,612623,-4.69
2000-02-01,546000,552300,514500,514500,-224539.4531,929803,-7.2
2000-02-02,513450,514500,487200,501900,-219040.4844,769984,-2.45
2000-02-03,495600,506100,477750,484050,-211250.375,756656,-3.56
2000-02-07,475650,496650,468300,483000,-210792.1406,640018,-0.22
2000-02-08,497700,509250,491400,500850,-218582.2344,541880,3.7
2000-02-09,506100,510300,487200,491400,-214458.0781,324604,-1.89
2000-02-10,483000,500850,478800,489300,-213541.6094,405709,-0.43
2000-02-11,494550,498750,464100,468300,-204376.6719,381418,-4.29
2000-02-14,451500,458850,436800,438900,-191545.9219,436423,-6.28
2000-02-15,447300,455700,432600,448350,-195670.0781,405761,2.15
2000-02-16,448350,451500,417900,438900,-191545.9219,452685,-2.11
2000-02-17,420000,430500,415800,426300,-186046.9063,507389,-2.87
2000-02-18,424200,437850,421050,426300,-186046.9063,498342,0
2000-02-21,413700,415800,389550,390600,-170466.6875,447937,-8.37
2000-02-22,384300,388500,362250,367500,-160385.2969,546818,-5.91
2000-02-23,386400,414750,370650,390600,-170466.6875,548566,6.29
2000-02-24,369600,383250,365400,370650,-161760.0625,278380,-5.11
2000-02-25,370650,381150,359100,369600,-161301.7969,298333,-0.28
2000-02-28,352800,360150,327600,327600,-142972.0156,344637,-11.36
2000-02-29,354900,375900,342300,375900,-164051.2344,584423,14.74
2000-03-02,431550,431550,431550,431550,-188338.1406,122128,14.8
2000-03-03,495600,495600,458850,495600,-216291.0469,1321446,14.84
2000-03-06,485100,492450,459900,466200,-203460.25,532428,-5.93
2000-03-07,462000,483000,451500,471450,-205751.4063,318175,1.13
2000-03-08,451500,490350,451500,484050,-211250.375,409675,2.67
2000-03-09,485100,493500,472500,472500,-206209.7031,297304,-2.39
2000-03-10,483000,487200,434700,444150,-193837.0625,271418,-6
