Date,Open,High,Low,Close,Adj Close,Volume,Change
2000-01-04,6000,6110,5660,6110,4623.467773,74195000,0
2000-01-05,5800,6060,5520,5580,4222.413086,74680000,-8.67
2000-01-06,5750,5780,5580,5620,4252.679688,54390000,0.72
2000-01-07,5560,5670,5360,5540,4192.14502,40305000,-1.42
2000-01-10,5600,5770,5580,5770,4366.1875,46880000,4.15
2000-01-11,5820,6100,5770,5770,4366.1875,59745000,0
2000-01-12,5610,5740,5600,5720,4328.354004,29220000,-0.87
2000-01-13,5600,5740,5560,5710,4320.78418,41190000,-0.17
2000-01-14,5720,5880,5680,5830,4411.588867,49375000,2.1
2000-01-17,6000,6180,5920,6100,4615.899414,63505000,4.63
2000-01-18,6160,6160,5980,6100,4615.899414,45260000,0
2000-01-19,6000,6040,5960,5960,4509.960449,40205000,-2.3
2000-01-20,5860,6040,5820,6040,4570.498047,37315000,1.34
2000-01-21,5950,5980,5880,5880,4449.425293,32535000,-2.65
2000-01-24,5800,5900,5700,5700,4313.220703,34355000,-3.06
2000-01-25,5520,5640,5440,5440,4116.475098,44250000,-4.56
2000-01-26,5500,5520,5410,5480,4146.743164,29285000,0.74
2000-01-27,5480,5620,5430,5520,4177.010742,27900000,0.73
2000-01-28,5640,5880,5540,5820,4404.023438,38315000,5.43
2000-01-31,5640,5730,5560,5580,4222.413086,39630000,-4.12
2000-02-01,5600,5680,5260,5320,4025.670898,71470000,-4.66
2000-02-02,5220,5370,5110,5250,3972.701904,64105000,-1.32
2000-02-03,5250,5460,4970,5130,3881.897461,142765000,-2.29
2000-02-07,5140,5330,5040,5240,3965.134521,64140000,2.14
2000-02-08,5340,5480,5310,5430,4108.909668,58460000,3.63
2000-02-09,5560,5720,5480,5720,4328.354004,51050000,5.34
2000-02-10,5660,5880,5600,5760,4358.62207,61845000,0.7
2000-02-11,5960,5960,5680,5700,4313.220703,34660000,-1.04
2000-02-14,5600,5660,5340,5380,4071.073242,44140000,-5.61
2000-02-15,5380,5420,5140,5200,3934.866699,38315000,-3.35
2000-02-16,5180,5200,4780,5000,3783.525391,73115000,-3.85
2000-02-17,4940,5100,4910,5080,3844.061523,65185000,1.6
2000-02-18,5370,5630,5160,5300,4010.537109,108750000,4.33
2000-02-21,5200,5260,5030,5070,3836.494141,26485000,-4.34
2000-02-22,5000,5240,5000,5120,3874.330566,24180000,0.99
2000-02-23,5220,5260,5100,5140,3889.463135,27720000,0.39
2000-02-24,5120,5240,5060,5070,3836.494141,26075000,-1.36
2000-02-25,5080,5150,4980,5120,3874.330566,27875000,0.99
2000-02-28,5000,5050,4800,4800,3632.183594,30140000,-6.25
2000-02-29,4900,5140,4840,5120,3874.330566,51820000,6.67
2000-03-02,5880,5880,5520,5880,4449.425293,117750000,14.84
2000-03-03,6200,6250,5880,6000,4540.230469,140990000,2.04
2000-03-06,6000,6050,5600,5640,4267.816406,39150000,-6
2000-03-07,5600,5640,5480,5620,4252.679688,30070000,-0.35
2000-03-08,5520,6000,5500,5920,4479.692871,32460000,5.34
2000-03-09,5970,5980,5620,5620,4252.679688,55890000,-5.07
2000-03-10,5790,5800,5520,5540,4192.14502,28605000,-1.42
2000-03-13,5480,5490,5160,5180,3919.731689,32215000,-6.5
2000-03-14,5170,5380,5160,5210,3942.432861,30060000,0.58
2000-03-15,5200,5400,5120,5400,4086.20459,46105000,3.65
2000-03-16,5480,5520,5360,5400,4086.20459,28795000,0
2000-03-17,5540,5560,5400,5480,4146.743164,24080000,1.48
2000-03-20,5600,5710,5530,5660,4282.951172,26365000,3.28
2000-03-21,5700,5940,5610,5880,4449.425293,44925000,3.89
2000-03-22,5960,6300,5880,6200,4691.570801,86975000,5.44
2000-03-23,6480,6580,6200,6200,4691.570801,64950000,0
2000-03-24,6320,7120,6180,6800,5145.59375,90260000,9.68
2000-03-27,6960,7040,6700,6800,5145.59375,67730000,0
2000-03-28,6900,7260,6820,7030,5319.635254,74425000,3.38
2000-03-29,7030,7680,6980,7660,5796.359863,78090000,8.96
2000-03-30,7520,7560,7050,7050,5334.769531,74645000,-7.96
2000-03-31,6800,7070,6650,6700,5069.922852,63855000,-4.96
2000-04-03,6920,7320,6860,7100,5372.605469,56805000,5.97
2000-04-04,7000,7290,6660,6800,5145.59375,58340000,-4.23
2000-04-06,6860,6960,6680,6680,5054.788086,47235000,-1.76
2000-04-07,6860,7260,6780,7200,5448.274902,42355000,7.78
2000-04-10,7500,7500,7200,7300,5523.947754,35885000,1.39
