N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익,PER
1.0,삼성전자,58600.0,1400.0,-2.33%,100.0,2796048.0,4266212.0,516339.0,8.89
2.0,LG에너지솔루션,462000.0,3500.0,-0.75%,500.0,178519.0,237641.0,7685.0,767.44
3.0,SK하이닉스,92300.0,2800.0,-2.94%,5000.0,429978.0,963865.0,124103.0,5.85
4.0,삼성바이오로직스,830000.0,17000.0,-2.01%,2500.0,15680.0,79700.0,5373.0,110.39
5.0,삼성전자우,54100.0,1000.0,-1.81%,100.0,,,,8.21
6.0,LG화학,609000.0,7000.0,-1.14%,5000.0,426547.0,511353.0,50255.0,21.47
7.0,현대차,187500.0,6000.0,-3.10%,5000.0,1176106.0,2339464.0,66789.0,8.32
8.0,삼성SDI,576000.0,10000.0,-1.71%,5000.0,135532.0,258332.0,10676.0,26.87
9.0,NAVER,233000.0,9000.0,-3.72%,100.0,68176.0,336910.0,13255.0,38.01
10.0,카카오,72500.0,3500.0,-4.61%,100.0,61367.0,227796.0,5949.0,14.5
11.0,기아,77500.0,1400.0,-1.77%,5000.0,698624.0,668500.0,50657.0,5.93
12.0,셀트리온,186000.0,3500.0,-1.85%,1000.0,19116.0,56741.0,7569.0,46.53
13.0,삼성물산,119500.0,3000.0,-2.45%,100.0,344552.0,552454.0,11960.0,14.23
14.0,POSCO홀딩스,244000.0,5000.0,-2.01%,5000.0,763323.0,914716.0,92381.0,2.94
15.0,KB금융,49250.0,850.0,-1.70%,5000.0,589176.0,6638958.0,60976.0,4.45
16.0,현대모비스,206500.0,6000.0,-2.82%,5000.0,417022.0,514825.0,20401.0,8.23
17.0,SK이노베이션,196000.0,7500.0,-3.69%,5000.0,468429.0,495574.0,17542.0,7.16
18.0,신한지주,35300.0,1050.0,-2.89%,5000.0,286756.0,6481522.0,59521.0,4.46
19.0,SK,228000.0,5500.0,-2.36%,200.0,983250.0,1653809.0,49355.0,5.12
20.0,LG전자,96300.0,4200.0,-4.18%,5000.0,747216.0,534815.0,38638.0,9.45
21.0,두산에너빌리티,22100.0,50.0,-0.23%,5000.0,112836.0,237205.0,8779.0,166.17
22.0,한국전력,20550.0,300.0,-1.44%,5000.0,605748.0,2111089.0,-58601.0,-0.85
23.0,포스코케미칼,168000.0,4500.0,+2.75%,500.0,19895.0,39225.0,1217.0,94.92
24.0,카카오뱅크,27050.0,1050.0,-3.74%,5000.0,10649.0,360401.0,2569.0,54.76
25.0,현대중공업,144500.0,5000.0,-3.34%,5000.0,83113.0,150787.0,-8003.0,-17.37
26.0,LG,81100.0,2000.0,-2.41%,5000.0,68590.0,256698.0,24601.0,5.57
27.0,삼성생명,60600.0,1600.0,-2.57%,500.0,350791.0,3413826.0,17010.0,18.62
28.0,S-Oil,106000.0,500.0,-0.47%,2500.0,274639.0,186932.0,21409.0,4.93
29.0,크래프톤,234500.0,10000.0,-4.09%,100.0,18863.0,56351.0,6396.0,18.22
30.0,고려아연,607000.0,22000.0,+3.76%,5000.0,99768.0,99640.0,10961.0,13.44
31.0,KT&G,82100.0,500.0,-0.61%,5000.0,52284.0,116373.0,13384.0,10.64
32.0,하나금융지주,38000.0,1050.0,-2.69%,5000.0,416778.0,5024453.0,46311.0,3.18
33.0,SK텔레콤,51200.0,100.0,-0.19%,100.0,167486.0,309113.0,13872.0,8.82
34.0,LG생활건강,699000.0,3000.0,-0.43%,5000.0,80915.0,75552.0,12896.0,20.76
35.0,HMM,22050.0,1150.0,-4.96%,5000.0,137941.0,178761.0,73775.0,0.92
36.0,KT,38050.0,0.0,0.00%,5000.0,248980.0,371593.0,16718.0,6.91
37.0,삼성전기,133000.0,5500.0,-3.97%,5000.0,96750.0,99414.0,14869.0,10.0
38.0,한화솔루션,51300.0,0.0,0.00%,5000.0,107252.0,200076.0,7383.0,28.23
39.0,삼성에스디에스,126500.0,3000.0,-2.32%,500.0,136300.0,105174.0,8081.0,12.87
40.0,대한항공,25500.0,850.0,-3.23%,5000.0,90168.0,266719.0,14180.0,5.96
41.0,삼성화재,193500.0,3000.0,-1.53%,500.0,244443.0,949340.0,15069.0,8.64
42.0,우리금융지주,12000.0,300.0,-2.44%,5000.0,271910.0,4471839.0,36597.0,3.16
43.0,SK바이오사이언스,111500.0,2500.0,-2.19%,500.0,9290.0,21101.0,4742.0,25.54
44.0,카카오페이,62700.0,1000.0,-1.57%,500.0,4586.0,34327.0,-272.0,-316.67
45.0,엔씨소프트,359500.0,9000.0,-2.44%,500.0,23088.0,45819.0,3752.0,15.5
46.0,LG이노텍,327500.0,15500.0,-4.52%,5000.0,149456.0,77414.0,12642.0,8.05
47.0,기업은행,9550.0,170.0,-1.75%,5000.0,174917.0,3980719.0,32313.0,3.07
48.0,아모레퍼시픽,121000.0,3000.0,-2.42%,500.0,48631.0,61167.0,3434.0,99.42
49.0,하이브,166000.0,9500.0,-5.41%,500.0,12559.0,47289.0,1902.0,29.25
50.0,한국조선해양,96800.0,2000.0,-2.02%,5000.0,154934.0,272931.0,-13848.0,-9.88
51.0,현대글로비스,173500.0,4500.0,-2.53%,500.0,217796.0,121709.0,11262.0,6.28
52.0,CJ제일제당,407000.0,7500.0,-1.81%,5000.0,262892.0,268558.0,15244.0,10.27
53.0,한국항공우주,61000.0,1600.0,+2.69%,5000.0,25623.0,58552.0,583.0,70.11
54.0,롯데케미칼,173000.0,7500.0,-4.16%,5000.0,181205.0,228700.0,15356.0,11.54
55.0,SK아이이테크놀로지,80000.0,3000.0,-3.61%,1000.0,6038.0,31845.0,892.0,441.99
56.0,강원랜드,26400.0,100.0,-0.38%,500.0,7884.0,38273.0,-527.0,137.5
57.0,SK스퀘어,39550.0,1550.0,-3.77%,100.0,11464.0,226391.0,4198.0,2.45
